Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
DEN,20/03/1994,14:00,Brøndby IF,Silkeborg IF,2,2,D,NaN,NaN,NaN
DEN,20/03/1994,14:00,Lyngby FC,FC København,0,3,A,NaN,NaN,NaN
DEN,13/04/1994,18:00,Ikast FS,Odense BK,0,0,D,NaN,NaN,NaN
DEN,21/04/1994,18:00,Aarhus GF,Aalborg BK,1,1,D,NaN,NaN,NaN
DEN,27/03/1994,14:00,FC København,Aarhus GF,1,3,A,NaN,NaN,NaN
DEN,27/03/1994,14:00,Odense BK,Brøndby IF,0,3,A,NaN,NaN,NaN
DEN,27/03/1994,14:00,Silkeborg IF,Lyngby FC,2,0,H,NaN,NaN,NaN
DEN,27/03/1994,14:00,Aalborg BK,Ikast FS,1,0,H,NaN,NaN,NaN
DEN,31/03/1994,14:00,Aarhus GF,Silkeborg IF,0,3,A,NaN,NaN,NaN
DEN,31/03/1994,14:00,Ikast FS,FC København,0,2,A,NaN,NaN,NaN
DEN,31/03/1994,14:00,Lyngby FC,Brøndby IF,2,1,H,NaN,NaN,NaN
DEN,31/03/1994,14:00,Aalborg BK,Odense BK,2,2,D,NaN,NaN,NaN
DEN,04/04/1994,14:00,Brøndby IF,Aarhus GF,2,1,H,NaN,NaN,NaN
DEN,04/04/1994,14:00,FC København,Aalborg BK,3,3,D,NaN,NaN,NaN
DEN,04/04/1994,14:00,Odense BK,Lyngby FC,1,0,H,NaN,NaN,NaN
DEN,04/04/1994,14:00,Silkeborg IF,Ikast FS,0,1,A,NaN,NaN,NaN
DEN,10/04/1994,14:00,Aarhus GF,Lyngby FC,0,1,A,NaN,NaN,NaN
DEN,10/04/1994,14:00,FC København,Odense BK,1,1,D,NaN,NaN,NaN
DEN,10/04/1994,14:00,Ikast FS,Brøndby IF,1,1,D,NaN,NaN,NaN
DEN,10/04/1994,14:00,Aalborg BK,Silkeborg IF,1,1,D,NaN,NaN,NaN
DEN,17/04/1994,14:00,Brøndby IF,Aalborg BK,1,1,D,NaN,NaN,NaN
DEN,17/04/1994,14:00,Lyngby FC,Ikast FS,1,2,A,NaN,NaN,NaN
DEN,17/04/1994,14:00,Odense BK,Aarhus GF,2,0,H,NaN,NaN,NaN
DEN,17/04/1994,14:00,Silkeborg IF,FC København,5,0,H,NaN,NaN,NaN
DEN,24/04/1994,14:00,FC København,Brøndby IF,2,1,H,NaN,NaN,NaN
DEN,24/04/1994,14:00,Ikast FS,Aarhus GF,0,1,A,NaN,NaN,NaN
DEN,24/04/1994,14:00,Odense BK,Silkeborg IF,3,0,H,NaN,NaN,NaN
DEN,24/04/1994,14:00,Aalborg BK,Lyngby FC,2,0,H,NaN,NaN,NaN
DEN,01/05/1994,14:00,Aarhus GF,Brøndby IF,0,2,A,NaN,NaN,NaN
DEN,01/05/1994,14:00,Ikast FS,Silkeborg IF,0,3,A,NaN,NaN,NaN
DEN,01/05/1994,14:00,Lyngby FC,Odense BK,2,0,H,NaN,NaN,NaN
DEN,01/05/1994,14:00,Aalborg BK,FC København,0,3,A,NaN,NaN,NaN
DEN,08/05/1994,14:00,Brøndby IF,Lyngby FC,2,1,H,NaN,NaN,NaN
DEN,08/05/1994,14:00,FC København,Ikast FS,2,1,H,NaN,NaN,NaN
DEN,08/05/1994,14:00,Odense BK,Aalborg BK,2,1,H,NaN,NaN,NaN
DEN,08/05/1994,14:00,Silkeborg IF,Aarhus GF,1,0,H,NaN,NaN,NaN
DEN,15/05/1994,14:00,Aarhus GF,FC København,0,1,A,NaN,NaN,NaN
DEN,15/05/1994,14:00,Brøndby IF,Odense BK,0,0,D,NaN,NaN,NaN
DEN,15/05/1994,14:00,Ikast FS,Aalborg BK,1,4,A,NaN,NaN,NaN
DEN,15/05/1994,14:00,Lyngby FC,Silkeborg IF,4,1,H,NaN,NaN,NaN
DEN,23/05/1994,14:00,FC København,Lyngby FC,3,0,H,NaN,NaN,NaN
DEN,23/05/1994,14:00,Odense BK,Ikast FS,2,2,D,NaN,NaN,NaN
DEN,23/05/1994,14:00,Silkeborg IF,Brøndby IF,1,0,H,NaN,NaN,NaN
DEN,23/05/1994,14:00,Aalborg BK,Aarhus GF,0,0,D,NaN,NaN,NaN
DEN,29/05/1994,14:00,Aarhus GF,Ikast FS,2,4,A,NaN,NaN,NaN
DEN,29/05/1994,14:00,Brøndby IF,FC København,1,0,H,NaN,NaN,NaN
DEN,29/05/1994,14:00,Lyngby FC,Aalborg BK,0,1,A,NaN,NaN,NaN
DEN,29/05/1994,14:00,Silkeborg IF,Odense BK,1,0,H,NaN,NaN,NaN
DEN,05/06/1994,14:00,Aarhus GF,Odense BK,2,1,H,NaN,NaN,NaN
DEN,05/06/1994,14:00,Ikast FS,Lyngby FC,2,2,D,NaN,NaN,NaN
DEN,05/06/1994,14:00,Aalborg BK,Brøndby IF,1,3,A,NaN,NaN,NaN
DEN,05/06/1994,19:00,FC København,Silkeborg IF,4,1,H,NaN,NaN,NaN
DEN,12/06/1994,14:00,Brøndby IF,Ikast FS,2,2,D,NaN,NaN,NaN
DEN,12/06/1994,14:00,Lyngby FC,Aarhus GF,4,1,H,NaN,NaN,NaN
DEN,12/06/1994,14:00,Odense BK,FC København,3,2,H,NaN,NaN,NaN
DEN,12/06/1994,14:00,Silkeborg IF,Aalborg BK,2,0,H,NaN,NaN,NaN
