Div,Date,Time,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR
SLV,2015-12-02,21:00,Pasaquina FC,CD Águila,0,1,A,,,
SLV,2015-12-03,01:00,CD Chalatenango,Alianza FC,1,1,D,,,
SLV,2015-12-03,01:00,CD FAS,Santa Tecla FC,0,0,D,,,
SLV,2015-12-03,20:30,CD Dragón,AD Isidro Metapan,1,0,H,,,
SLV,2015-12-06,00:00,AD Isidro Metapan,CD Dragón,1,0,H,,,
SLV,2015-12-06,01:00,CD Águila,Pasaquina FC,1,0,H,,,
SLV,2015-12-06,21:15,Alianza FC,CD Chalatenango,3,2,H,,,
SLV,2015-12-06,22:00,Santa Tecla FC,CD FAS,1,2,A,,,
SLV,2015-12-10,01:00,CD FAS,AD Isidro Metapan,2,1,H,,,
SLV,2015-12-11,01:30,Alianza FC,CD Águila,1,0,H,,,
SLV,2015-12-13,01:00,AD Isidro Metapan,CD FAS,0,0,D,,,
SLV,2015-12-13,01:30,CD Águila,Alianza FC,2,2,D,,,
SLV,2015-12-20,21:00,Alianza FC,CD FAS,1,0,H,,,
